index	gene
1122	CAPN7
1123	CAPN8
1124	CAPNS1
1125	CAPNS2
1126	CAPRIN1
1127	CAPZA1
1128	CAPZA2
1129	CAPZA3
1130	CAPZB
1131	CARD10
1132	CARD11
1133	CARD14
1134	CARD6
1135	CARD8
1136	CARD9
1137	CARF
1138	CARM1
1139	CARMIL1
1140	CARS2
1141	CARTPT
1142	CASC3
1143	CASK
1144	CASP1
1145	CASP10
1146	CASP14
1147	CASP2
1148	CASP3
1149	CASP4
1150	CASP6
1151	CASP7
1152	CASP8
1153	CASP9
1154	CASQ2
1155	CASR
1156	CASZ1
1157	CAT
1158	CATSPER1
1159	CATSPER2
1160	CATSPER4
1161	CAV1
1162	CAV2
1163	CAV3
1164	CAVIN1
1165	CAVIN2
1166	CBFA2T2
1167	CBFA2T3
1168	CBL
1169	CBLIF
1170	CBLL1
1171	CBLN1
1172	CBR1
1173	CBR3
1174	CBR4
1175	CBS
1176	CBX1
1177	CBX2
1178	CBX3
1179	CBX4
1180	CBX5
1181	CBX6
1182	CBX7
1183	CBX8
1184	CC2D1A
1185	CC2D2A
1186	CCAR1
1187	CCAR2
1188	CCDC106
1189	CCDC115
1190	CCDC136
1191	CCDC181
1192	CCDC40
1193	CCDC59
1194	CCDC6
1195	CCDC62
1196	CCDC8
1197	CCDC86
1198	CCDC88A
1199	CCDC88C
1200	CCDC91
1201	CCIN
1202	CCK
1203	CCKAR
1204	CCKBR
1205	CCL1
1206	CCL11
1207	CCL13
1208	CCL15
1209	CCL16
1210	CCL17
1211	CCL18
1212	CCL19
1213	CCL2
1214	CCL20
1215	CCL21
1216	CCL22
1217	CCL24
1218	CCL25
1219	CCL26
1220	CCL27
1221	CCL28
1222	CCL3
1223	CCL4
1224	CCL4L2
1225	CCL7
1226	CCL8
1227	CCM2
1228	CCN1
1229	CCN2
1230	CCNA1
1231	CCNA2
1232	CCNB1
1233	CCNB2
1234	CCNB3
1235	CCNC
1236	CCND1
1237	CCND2
1238	CCND3
1239	CCNDBP1
1240	CCNE1
1241	CCNE2
1242	CCNF
1243	CCNG1
1244	CCNH
1245	CCNL1
1246	CCNL2
1247	CCNO
1248	CCNT1
1249	CCNT2
1250	CCNY
1251	CCP110
1252	CCR1
1253	CCR10
1254	CCR3
1255	CCR4
1256	CCR5
1257	CCR6
1258	CCR7
1259	CCR8
1260	CCR9
1261	CCRL2
1262	CCS
1263	CCT2
1264	CCT3
1265	CCT4
1266	CCT5
1267	CCT6A
1268	CCT6B
1269	CCT7
1270	CCT8
1271	CCZ1
1272	CD101
1273	CD109
1274	CD14
1275	CD151
1276	CD160
1277	CD163
1278	CD177
1279	CD180
1280	CD19
1281	CD1A
1282	CD1B
1283	CD1C
1284	CD1D
1285	CD1E
1286	CD2
1287	CD200
1288	CD200R1
1289	CD207
1290	CD209
1291	CD22
1292	CD226
1293	CD24
1294	CD244
1295	CD247
1296	CD248
1297	CD27
1298	CD274
1299	CD28
1300	CD2AP
1301	CD2BP2
1302	CD300A
1303	CD300E
1304	CD300LB
1305	CD300LF
1306	CD33
1307	CD34
1308	CD36
1309	CD38
1310	CD3D
1311	CD3E
1312	CD3G
1313	CD4
1314	CD40
1315	CD40LG
1316	CD44
1317	CD46
1318	CD47
1319	CD48
1320	CD5
1321	CD53
1322	CD55
1323	CD58
1324	CD59
1325	CD6
1326	CD63
1327	CD68
1328	CD69
1329	CD7
1330	CD70
1331	CD72
1332	CD74
1333	CD79A
1334	CD79B
1335	CD80
1336	CD81
1337	CD83
1338	CD86
1339	CD8A
1340	CD8B
1341	CD9
1342	CD93
1343	CD96
1344	CD99
1345	CDA
1346	CDC14A
1347	CDC14B
1348	CDC16
1349	CDC20
1350	CDC23
1351	CDC25A
1352	CDC25B
1353	CDC25C
